function,algo,run,error
F2,GWO,2,1.402421e+03
F2,GWO,3,2.398637e+02
F2,GWO,4,2.103362e+03
F2,GWO,5,1.319232e+03
F2,GWO,6,1.104774e+03
F2,GWO,7,2.565330e+03
F2,GWO,8,2.540844e+03
F2,GWO,9,1.826408e+03
F2,GWO,10,1.750706e+03
F2,GWO,11,2.315280e+03
F2,GWO,12,2.012787e+03
F2,GWO,13,1.311052e+03
F2,GWO,14,3.150524e+02
F2,GWO,15,6.317617e+03
F2,GWO,16,7.911917e+02
F2,GWO,17,2.738674e+01
F2,GWO,18,7.501324e+02
F2,GWO,19,1.472781e+03
F2,GWO,20,6.648524e+02
F2,GWO,21,1.406691e+03
F2,GWO,22,1.589773e+03
F2,GWO,23,4.568798e+03
F2,GWO,24,1.342710e+03
F2,GWO,25,4.273163e+03
F2,GWO,26,5.223100e+02
F2,GWO,27,2.392717e+03
F2,GWO,28,8.346874e+02
F2,GWO,29,2.509063e+03
F2,PSO,0,3.150826e-01
F2,PSO,1,1.491099e+00
F2,PSO,2,1.053090e+03
F2,PSO,3,8.226605e-02
F2,PSO,4,1.599799e-01
F2,PSO,5,5.225157e-02
F2,PSO,6,7.400180e-01
F2,PSO,7,7.767510e-03
F2,PSO,8,7.220272e-01
F2,PSO,9,7.296841e-03
F2,PSO,10,2.098204e+00
F2,PSO,11,1.671666e+00
F2,PSO,12,3.733444e-01
F2,PSO,13,1.438170e+04
F2,PSO,14,2.741044e-01
F2,PSO,15,6.627268e-02
F2,PSO,16,1.134536e-02
F2,PSO,17,6.003545e-01
F2,PSO,18,1.460367e-01
F2,PSO,19,5.702811e-01
F2,PSO,20,3.307173e-02
F2,PSO,21,8.848661e-01
F2,PSO,22,3.832005e-02
F2,PSO,23,2.156352e-01
F2,PSO,24,2.362912e-02
F2,PSO,25,5.786547e-01
F2,PSO,26,2.893649e-02
F2,PSO,27,1.389347e-01
F2,PSO,28,2.172185e-02
F2,PSO,29,3.091311e-02
F2,DE,0,1.184343e-06
F2,DE,1,1.039491e-01
F2,DE,2,1.039662e+03
F2,DE,3,1.971027e+02
F2,DE,4,1.747622e-09
F2,DE,5,3.546084e+00
F2,DE,6,1.676784e-08
F2,DE,7,3.316104e-05
F2,DE,8,1.340122e+00
F2,DE,9,5.945356e+01
F2,DE,10,3.199663e-03
F2,DE,11,1.126727e+02
F2,DE,12,6.064624e-10
F2,DE,13,6.618683e+02
F2,DE,14,3.946150e-08
F2,DE,15,6.104908e-01
F2,DE,16,2.802888e-01
F2,DE,17,2.414244e-03
F2,DE,18,2.898135e+00
F2,DE,19,1.530926e+00
F2,DE,20,1.346848e+01
F2,DE,21,7.786247e-05
F2,DE,22,9.524271e-07
F2,DE,23,2.900974e-03
F2,DE,24,1.512350e+02
F2,DE,25,2.046385e+00
F2,DE,26,1.430010e-09
F2,DE,27,1.259562e+02
F2,DE,28,4.077563e+01
F2,DE,29,9.558956e-02
F2,WOA,0,1.022181e+03
F2,WOA,1,4.705108e+02
F2,WOA,2,9.758988e+02
F2,WOA,3,2.321693e+00
F2,WOA,4,1.552884e+00
F2,WOA,5,8.995210e+02
F2,WOA,6,3.485971e+01
F2,WOA,7,4.368555e+02
F2,WOA,8,5.795830e+00
F2,WOA,9,1.090515e+03
F2,WOA,10,7.319373e+02
F2,WOA,11,6.083919e+01
F2,WOA,12,1.066687e+03
F2,WOA,13,4.260101e+02
F2,WOA,14,1.115038e+00
F2,WOA,15,5.859291e+02
F2,WOA,16,5.202564e+02
F2,WOA,17,3.156889e+01
F2,WOA,18,4.400130e+02
F2,WOA,19,3.086197e+02
F2,WOA,20,8.915890e-01
F2,WOA,21,5.322585e+00
F2,WOA,22,2.434510e+00
F2,WOA,23,1.445685e+03
F2,WOA,24,1.554390e+03
F2,WOA,25,6.597868e+02
F2,WOA,26,4.950011e+02
F2,WOA,27,5.345773e+02
F2,WOA,28,3.979174e+01
F2,WOA,29,3.347592e+01
F3,EOGWO,0,1.485341e+06
F3,EOGWO,1,6.537977e+05
F3,EOGWO,2,2.259036e+05
F3,EOGWO,3,7.802358e+05
F3,EOGWO,4,2.584057e+05
F3,EOGWO,5,2.822149e+05
F3,EOGWO,6,2.131961e+06
F3,EOGWO,7,6.627303e+04
F3,EOGWO,8,4.378540e+05
F3,EOGWO,9,2.082554e+05
F3,EOGWO,10,4.058694e+05
F3,EOGWO,11,3.855162e+06
F3,EOGWO,12,4.729369e+05
F3,EOGWO,13,2.605738e+06
F3,EOGWO,14,3.994689e+05
F3,EOGWO,15,9.193054e+05
F3,EOGWO,16,1.040343e+06
F3,EOGWO,17,6.229710e+05
F3,EOGWO,18,7.192198e+05
F3,EOGWO,19,7.682994e+05
F3,EOGWO,20,6.598766e+05
F3,EOGWO,21,1.806816e+05
F3,EOGWO,22,2.567624e+05
F3,EOGWO,23,3.732500e+05
F3,EOGWO,24,1.523488e+05
F3,EOGWO,25,4.232858e+05
F3,EOGWO,26,1.983722e+06
F3,EOGWO,27,2.498011e+05
F3,EOGWO,28,7.194057e+04
F3,EOGWO,29,1.222632e+06
F3,GWO,0,2.104979e+06
F3,GWO,1,1.065449e+06
F3,GWO,2,3.888216e+06
F3,GWO,3,4.211130e+06
F3,GWO,4,1.402843e+06
F3,GWO,5,1.805961e+05
F3,GWO,6,2.725230e+06
F3,GWO,7,2.699242e+06
F3,GWO,8,8.872393e+05
F3,GWO,9,4.360463e+06
F3,GWO,10,5.536622e+05
F3,GWO,11,2.557949e+05
F3,GWO,12,5.109645e+05
F3,GWO,13,6.356298e+06
F3,GWO,14,1.484886e+06
