problem,algo,run,cost,feasible
Welded Beam,WOA,17,1.727164,1
Welded Beam,WOA,18,2.126384,1
Welded Beam,WOA,19,1.734588,1
Welded Beam,WOA,20,2.667599,1
Welded Beam,WOA,21,1.727057,1
Welded Beam,WOA,22,1.740130,1
Welded Beam,WOA,23,1.726159,1
Welded Beam,WOA,24,1.953499,1
Welded Beam,WOA,25,1.753514,1
Welded Beam,WOA,26,1.731790,1
Welded Beam,WOA,27,1.764336,1
Welded Beam,WOA,28,1.729467,1
Welded Beam,WOA,29,1.859947,1
Pressure Vessel,EOGWO,0,6066.006245,1
Pressure Vessel,EOGWO,1,6063.310070,1
Pressure Vessel,EOGWO,2,6063.661044,1
Pressure Vessel,EOGWO,3,6412.677990,1
Pressure Vessel,EOGWO,4,6095.396710,1
Pressure Vessel,EOGWO,5,6066.418812,1
Pressure Vessel,EOGWO,6,6062.151343,1
Pressure Vessel,EOGWO,7,6065.813583,1
Pressure Vessel,EOGWO,8,6091.359361,1
Pressure Vessel,EOGWO,9,6372.666871,1
Pressure Vessel,EOGWO,10,6433.711052,1
Pressure Vessel,EOGWO,11,6073.170181,1
Pressure Vessel,EOGWO,12,6061.828609,1
Pressure Vessel,EOGWO,13,6061.020383,1
Pressure Vessel,EOGWO,14,6091.132454,1
Pressure Vessel,EOGWO,15,7372.141264,1
Pressure Vessel,EOGWO,16,6086.817517,1
Pressure Vessel,EOGWO,17,6063.290373,1
Pressure Vessel,EOGWO,18,6062.069970,1
Pressure Vessel,EOGWO,19,7383.809173,1
Pressure Vessel,EOGWO,20,6061.807108,1
Pressure Vessel,EOGWO,21,6064.054122,1
Pressure Vessel,EOGWO,22,6773.812719,1
Pressure Vessel,EOGWO,23,6061.325204,1
Pressure Vessel,EOGWO,24,6067.581491,1
Pressure Vessel,EOGWO,25,6067.028797,1
Pressure Vessel,EOGWO,26,6091.843126,1
Pressure Vessel,EOGWO,27,6111.952375,1
Pressure Vessel,EOGWO,28,6061.947853,1
Pressure Vessel,EOGWO,29,6061.844547,1
Pressure Vessel,GWO,0,7359.882919,1
Pressure Vessel,GWO,1,6062.999811,1
Pressure Vessel,GWO,2,6124.479089,1
Pressure Vessel,GWO,3,6062.928736,1
Pressure Vessel,GWO,4,6061.538207,1
Pressure Vessel,GWO,5,6092.628843,1
Pressure Vessel,GWO,6,6824.892045,1
Pressure Vessel,GWO,7,6060.669474,1
Pressure Vessel,GWO,8,6150.963729,1
Pressure Vessel,GWO,9,6062.581045,1
Pressure Vessel,GWO,10,6062.528500,1
Pressure Vessel,GWO,11,6063.431344,1
Pressure Vessel,GWO,12,6063.086589,1
Pressure Vessel,GWO,13,6063.186035,1
Pressure Vessel,GWO,14,6372.830535,1
Pressure Vessel,GWO,15,6821.079036,1
Pressure Vessel,GWO,16,6065.045338,1
Pressure Vessel,GWO,17,6412.007775,1
Pressure Vessel,GWO,18,6063.049440,1
Pressure Vessel,GWO,19,6106.415111,1
Pressure Vessel,GWO,20,6120.948320,1
Pressure Vessel,GWO,21,6065.231523,1
Pressure Vessel,GWO,22,6091.593400,1
Pressure Vessel,GWO,23,6063.146368,1
Pressure Vessel,GWO,24,6061.481121,1
Pressure Vessel,GWO,25,6062.527733,1
Pressure Vessel,GWO,26,6061.735114,1
Pressure Vessel,GWO,27,6411.906295,1
Pressure Vessel,GWO,28,7360.024700,1
Pressure Vessel,GWO,29,6063.392502,1
Pressure Vessel,PSO,0,6370.779813,1
Pressure Vessel,PSO,1,6090.526294,1
Pressure Vessel,PSO,2,6090.526493,1
Pressure Vessel,PSO,3,6370.780220,1
Pressure Vessel,PSO,4,6059.714458,1
Pressure Vessel,PSO,5,6370.779796,1
Pressure Vessel,PSO,6,6090.526945,1
Pressure Vessel,PSO,7,6410.088029,1
Pressure Vessel,PSO,8,6090.526203,1
Pressure Vessel,PSO,9,6771.596948,1
Pressure Vessel,PSO,10,6820.411650,1
Pressure Vessel,PSO,11,6090.526207,1
Pressure Vessel,PSO,12,6410.087625,1
Pressure Vessel,PSO,13,6059.714342,1
Pressure Vessel,PSO,14,6410.090808,1
Pressure Vessel,PSO,15,6090.526228,1
Pressure Vessel,PSO,16,6410.087201,1
Pressure Vessel,PSO,17,6370.779735,1
Pressure Vessel,PSO,18,6370.779743,1
Pressure Vessel,PSO,19,6059.714336,1
Pressure Vessel,PSO,20,6370.779828,1
Pressure Vessel,PSO,21,6059.714342,1
Pressure Vessel,PSO,22,6410.092673,1
Pressure Vessel,PSO,23,6410.086778,1
Pressure Vessel,PSO,24,6410.086927,1
Pressure Vessel,PSO,25,6410.086854,1
Pressure Vessel,PSO,26,6410.086825,1
Pressure Vessel,PSO,27,6410.086787,1
Pressure Vessel,PSO,28,6288.677046,1
Pressure Vessel,PSO,29,6410.087281,1
Pressure Vessel,DE,0,7332.841508,1
Pressure Vessel,DE,1,6059.714335,1
Pressure Vessel,DE,2,6059.714335,1
Pressure Vessel,DE,3,6059.714335,1
Pressure Vessel,DE,4,6059.714335,1
Pressure Vessel,DE,5,6059.714335,1
Pressure Vessel,DE,6,6059.714335,1
Pressure Vessel,DE,7,6059.714335,1
Pressure Vessel,DE,8,6059.714335,1
Pressure Vessel,DE,9,6090.526202,1
Pressure Vessel,DE,10,6090.526202,1
Pressure Vessel,DE,11,6059.714335,1
Pressure Vessel,DE,12,6090.526202,1
Pressure Vessel,DE,13,6059.714335,1
Pressure Vessel,DE,14,6370.779713,1
Pressure Vessel,DE,15,6059.714335,1
Pressure Vessel,DE,16,6059.714335,1
Pressure Vessel,DE,17,6059.714335,1
Pressure Vessel,DE,18,6059.714335,1
Pressure Vessel,DE,19,6059.714335,1
Pressure Vessel,DE,20,6059.714335,1
Pressure Vessel,DE,21,6059.714335,1
Pressure Vessel,DE,22,6059.714335,1
Pressure Vessel,DE,23,6059.714335,1
Pressure Vessel,DE,24,6090.526202,1
Pressure Vessel,DE,25,6059.714335,1
Pressure Vessel,DE,26,6090.526202,1
Pressure Vessel,DE,27,6059.714335,1
Pressure Vessel,DE,28,6059.714335,1
Pressure Vessel,DE,29,6090.526202,1
Pressure Vessel,WOA,0,6371.271340,1
Pressure Vessel,WOA,1,6373.625996,1
Pressure Vessel,WOA,2,6060.029610,1
Pressure Vessel,WOA,3,7274.027312,1
Pressure Vessel,WOA,4,7354.830163,1
Pressure Vessel,WOA,5,6822.409044,1
Pressure Vessel,WOA,6,6773.113540,1
Pressure Vessel,WOA,7,6412.185308,1
Pressure Vessel,WOA,8,6061.558977,1
Pressure Vessel,WOA,9,7284.737962,1
Pressure Vessel,WOA,10,6062.364645,1
Pressure Vessel,WOA,11,6061.361533,1
Pressure Vessel,WOA,12,6373.074411,1
Pressure Vessel,WOA,13,6090.623966,1
Pressure Vessel,WOA,14,6410.298274,1
Pressure Vessel,WOA,15,6091.806738,1
Pressure Vessel,WOA,16,7544.495013,1
Pressure Vessel,WOA,17,6090.666094,1
Pressure Vessel,WOA,18,6061.337301,1
Pressure Vessel,WOA,19,6826.986008,1
Pressure Vessel,WOA,20,6412.593933,1
Pressure Vessel,WOA,21,6059.768991,1
Pressure Vessel,WOA,22,6060.775930,1
Pressure Vessel,WOA,23,6090.914248,1
Pressure Vessel,WOA,24,6820.665355,1
Pressure Vessel,WOA,25,6412.646853,1
Pressure Vessel,WOA,26,6091.752730,1
Pressure Vessel,WOA,27,6825.025476,1
Pressure Vessel,WOA,28,6059.821777,1
Pressure Vessel,WOA,29,6823.739993,1
Tension/Compression Spring,EOGWO,0,0.012728,1
Tension/Compression Spring,EOGWO,1,0.012732,1
Tension/Compression Spring,EOGWO,2,0.012726,1
Tension/Compression Spring,EOGWO,3,0.013132,1
Tension/Compression Spring,EOGWO,4,0.012726,1
Tension/Compression Spring,EOGWO,5,0.013075,1
Tension/Compression Spring,EOGWO,6,0.012826,1
Tension/Compression Spring,EOGWO,7,0.012890,1
Tension/Compression Spring,EOGWO,8,0.012723,1
Tension/Compression Spring,EOGWO,9,0.012864,1
Tension/Compression Spring,EOGWO,10,0.012919,1
Tension/Compression Spring,EOGWO,11,0.013379,1
Tension/Compression Spring,EOGWO,12,0.012692,1
Tension/Compression Spring,EOGWO,13,0.012980,1
Tension/Compression Spring,EOGWO,14,0.012784,1
Tension/Compression Spring,EOGWO,15,0.012730,1
Tension/Compression Spring,EOGWO,16,0.012732,1
Tension/Compression Spring,EOGWO,17,0.013454,1
Tension/Compression Spring,EOGWO,18,0.012839,1
Tension/Compression Spring,EOGWO,19,0.012733,1
Tension/Compression Spring,EOGWO,20,0.012951,1
Tension/Compression Spring,EOGWO,21,0.013086,1
Tension/Compression Spring,EOGWO,22,0.012760,1
Tension/Compression Spring,EOGWO,23,0.012743,1
Tension/Compression Spring,EOGWO,24,0.012722,1
Tension/Compression Spring,EOGWO,25,0.013626,1
Tension/Compression Spring,EOGWO,26,0.012732,1
Tension/Compression Spring,EOGWO,27,0.013130,1
Tension/Compression Spring,EOGWO,28,0.012742,1
Tension/Compression Spring,EOGWO,29,0.012750,1
Tension/Compression Spring,GWO,0,0.012706,1
Tension/Compression Spring,GWO,1,0.012735,1
Tension/Compression Spring,GWO,2,0.012704,1
Tension/Compression Spring,GWO,3,0.012787,1
Tension/Compression Spring,GWO,4,0.012731,1
Tension/Compression Spring,GWO,5,0.012727,1
Tension/Compression Spring,GWO,6,0.012786,1
Tension/Compression Spring,GWO,7,0.013381,1
