function,p(GWO),sig(GWO),p(PSO),sig(PSO),p(DE),sig(DE),p(WOA),sig(WOA)
F1,2.872e-11,+,7.733e-10,+,1.055e-08,-,3.131e-07,+
F2,1.211e-04,+,9.176e-01,=,4.789e-05,+,1.147e-02,+
F3,1.071e-01,=,5.099e-02,=,3.657e-09,-,1.732e-04,+
F4,1.619e-09,+,8.583e-06,+,1.269e-03,-,2.110e-07,+
F5,4.965e-01,=,1.882e-01,=,1.693e-10,+,5.308e-08,+
F6,3.465e-04,-,8.933e-05,-,2.872e-11,+,9.775e-04,-
F7,3.847e-02,-,4.101e-04,-,2.738e-10,-,1.537e-10,+
F8,3.831e-01,=,1.286e-04,-,6.048e-01,=,2.872e-11,-
F9,2.872e-11,+,7.786e-03,+,1.383e-05,-,1.369e-08,+
F10,5.844e-02,=,9.193e-06,+,1.596e-02,+,4.494e-05,+

EOGWO vs,Win(+),Tie(=),Loss(-)
GWO,4,4,2
PSO,4,3,3
DE,4,1,5
WOA,8,0,2
