function,algo,run,error
F1,EOGWO,0,1.174952e+07
F1,EOGWO,1,4.462602e+07
F1,EOGWO,2,2.476729e+07
F1,EOGWO,3,4.016489e+07
F1,EOGWO,4,7.094766e+06
F1,EOGWO,5,2.364931e+07
F1,EOGWO,6,6.210493e+07
F1,EOGWO,7,2.368681e+07
F1,EOGWO,8,2.793541e+07
F1,EOGWO,9,1.678405e+07
F1,EOGWO,10,1.165637e+07
F1,EOGWO,11,2.019187e+07
F1,EOGWO,12,1.596913e+07
F1,EOGWO,13,1.610442e+07
F1,EOGWO,14,3.084044e+07
F1,EOGWO,15,2.736828e+07
F1,EOGWO,16,1.750505e+07
F1,EOGWO,17,2.875700e+07
F1,EOGWO,18,2.806271e+07
F1,EOGWO,19,1.265811e+07
F1,EOGWO,20,1.376484e+07
F1,EOGWO,21,1.244464e+07
F1,EOGWO,22,5.904771e+07
F1,EOGWO,23,7.074661e+07
F1,EOGWO,24,9.321798e+07
F1,EOGWO,25,5.448515e+06
F1,EOGWO,26,1.408761e+07
F1,EOGWO,27,2.195245e+07
F1,EOGWO,28,2.478763e+07
F1,EOGWO,29,1.207928e+07
F1,GWO,0,1.019624e+09
F1,GWO,1,5.577750e+08
F1,GWO,2,6.149251e+09
F1,GWO,3,7.763503e+08
F1,GWO,4,2.497220e+09
F1,GWO,5,8.236558e+08
F1,GWO,6,4.721869e+08
F1,GWO,7,1.346392e+09
F1,GWO,8,1.764239e+09
F1,GWO,9,1.536293e+09
F1,GWO,10,2.000619e+09
F1,GWO,11,7.584803e+08
F1,GWO,12,4.888128e+08
F1,GWO,13,9.180125e+08
F1,GWO,14,1.185359e+09
F1,GWO,15,4.186361e+09
F1,GWO,16,1.096062e+09
F1,GWO,17,2.281852e+09
F1,GWO,18,2.584484e+09
F1,GWO,19,1.177340e+09
F1,GWO,20,2.355629e+08
F1,GWO,21,1.377967e+08
F1,GWO,22,3.475759e+09
F1,GWO,23,1.466014e+09
F1,GWO,24,4.215938e+09
F1,GWO,25,1.194645e+09
F1,GWO,26,4.162867e+08
F1,GWO,27,1.993623e+09
F1,GWO,28,1.188146e+09
F1,GWO,29,1.451538e+09
F1,PSO,0,1.658705e+09
F1,PSO,1,1.946750e+08
F1,PSO,2,1.254838e+08
F1,PSO,3,2.994217e+08
F1,PSO,4,3.329045e+08
F1,PSO,5,9.348135e+08
F1,PSO,6,3.433355e+09
F1,PSO,7,8.868000e+09
F1,PSO,8,1.764529e+08
F1,PSO,9,4.369553e+09
F1,PSO,10,7.389095e+08
F1,PSO,11,7.507672e+08
F1,PSO,12,4.545258e+08
F1,PSO,13,2.785211e+09
F1,PSO,14,2.639435e+08
F1,PSO,15,7.097991e+08
F1,PSO,16,3.332095e+08
F1,PSO,17,2.867943e+09
F1,PSO,18,3.654409e+09
F1,PSO,19,2.283152e+09
F1,PSO,20,2.849582e+08
F1,PSO,21,7.752213e+05
F1,PSO,22,1.699318e+08
F1,PSO,23,3.280761e+08
F1,PSO,24,1.284693e+08
F1,PSO,25,3.716184e+09
F1,PSO,26,5.099300e+07
F1,PSO,27,6.999459e+08
F1,PSO,28,3.817863e+08
F1,PSO,29,3.426156e+09
F1,DE,0,1.600988e+04
F1,DE,1,9.494236e+06
F1,DE,2,1.613256e+06
F1,DE,3,2.780637e+03
F1,DE,4,1.203041e+04
F1,DE,5,5.805247e+06
F1,DE,6,3.422641e+04
F1,DE,7,3.009836e+02
F1,DE,8,3.707873e+06
F1,DE,9,1.596980e+05
F1,DE,10,1.303466e+04
F1,DE,11,4.644914e+04
F1,DE,12,1.350264e+04
F1,DE,13,8.419548e+04
F1,DE,14,1.108221e+08
F1,DE,15,2.159986e+06
F1,DE,16,7.344953e+07
F1,DE,17,2.527961e+04
F1,DE,18,5.409181e+06
F1,DE,19,6.683066e+06
F1,DE,20,1.354966e+05
F1,DE,21,3.356413e+04
F1,DE,22,1.349484e+06
F1,DE,23,3.969418e+05
F1,DE,24,2.803438e+04
F1,DE,25,2.043563e+04
F1,DE,26,8.568945e+03
F1,DE,27,8.961735e+03
F1,DE,28,1.942951e+04
F1,DE,29,1.495639e+05
F1,WOA,0,2.897981e+07
F1,WOA,1,4.206087e+08
F1,WOA,2,4.326798e+06
F1,WOA,3,2.366285e+08
F1,WOA,4,2.233655e+08
F1,WOA,5,1.472171e+07
F1,WOA,6,1.450866e+08
F1,WOA,7,3.948910e+07
F1,WOA,8,4.572650e+07
F1,WOA,9,2.764950e+08
F1,WOA,10,1.664851e+08
F1,WOA,11,4.261761e+08
F1,WOA,12,3.090249e+08
F1,WOA,13,5.242015e+07
F1,WOA,14,3.959799e+08
F1,WOA,15,8.704141e+07
F1,WOA,16,1.306109e+08
F1,WOA,17,1.040526e+08
F1,WOA,18,1.604574e+08
F1,WOA,19,6.060010e+08
F1,WOA,20,1.042811e+09
F1,WOA,21,5.476302e+07
F1,WOA,22,2.157728e+07
F1,WOA,23,5.177221e+08
F1,WOA,24,2.989805e+08
F1,WOA,25,5.398453e+07
F1,WOA,26,1.617660e+08
F1,WOA,27,7.163056e+07
F1,WOA,28,6.354234e+07
F1,WOA,29,5.162868e+07
F2,EOGWO,0,5.198355e+04
F2,EOGWO,1,4.253846e+04
F2,EOGWO,2,4.783274e+04
F2,EOGWO,3,4.261965e+04
F2,EOGWO,4,3.668444e+04
F2,EOGWO,5,3.689486e+04
F2,EOGWO,6,2.853104e+04
F2,EOGWO,7,4.174238e+04
F2,EOGWO,8,3.491481e+04
F2,EOGWO,9,3.958508e+04
F2,EOGWO,10,4.240699e+04
F2,EOGWO,11,4.447965e+04
F2,EOGWO,12,2.953900e+04
F2,EOGWO,13,2.576291e+04
F2,EOGWO,14,4.455395e+04
F2,EOGWO,15,3.924186e+04
F2,EOGWO,16,3.524131e+04
F2,EOGWO,17,4.695824e+04
F2,EOGWO,18,3.890220e+04
F2,EOGWO,19,3.921781e+04
F2,EOGWO,20,3.646861e+04
F2,EOGWO,21,2.884087e+04
F2,EOGWO,22,4.813057e+04
F2,EOGWO,23,5.068713e+04
F2,EOGWO,24,4.585190e+04
F2,EOGWO,25,2.645799e+04
F2,EOGWO,26,4.748512e+04
F2,EOGWO,27,3.101968e+04
F2,EOGWO,28,2.646189e+04
F2,EOGWO,29,4.150756e+04
F2,GWO,0,5.286426e+04
F2,GWO,1,4.691562e+04
F2,GWO,2,6.398076e+04
F2,GWO,3,4.719188e+04
F2,GWO,4,5.071500e+04
F2,GWO,5,4.704668e+04
F2,GWO,6,4.774209e+04
F2,GWO,7,5.115267e+04
F2,GWO,8,4.502069e+04
F2,GWO,9,4.909171e+04
F2,GWO,10,4.144115e+04
F2,GWO,11,5.799256e+04
F2,GWO,12,4.497699e+04
F2,GWO,13,4.120785e+04
F2,GWO,14,4.314435e+04
F2,GWO,15,3.770144e+04
F2,GWO,16,5.347553e+04
F2,GWO,17,5.760647e+04
F2,GWO,18,5.361836e+04
F2,GWO,19,5.160730e+04
F2,GWO,20,3.608685e+04
F2,GWO,21,4.222314e+04
F2,GWO,22,5.381571e+04
F2,GWO,23,3.831712e+04
F2,GWO,24,5.524619e+04
F2,GWO,25,4.141492e+04
F2,GWO,26,5.946530e+04
F2,GWO,27,4.595728e+04
F2,GWO,28,3.695023e+04
F2,GWO,29,4.559322e+04
F2,PSO,0,6.457480e+04
F2,PSO,1,2.763499e+04
F2,PSO,2,4.634160e+04
F2,PSO,3,2.966701e+04
F2,PSO,4,2.068977e+04
F2,PSO,5,2.727943e+04
F2,PSO,6,6.954256e+04
F2,PSO,7,3.461120e+04
