function,class,algo,mean,std,best,median
F1,unimodal,EOGWO,2.730845e+07,1.992377e+07,5.448515e+06,2.280088e+07
F1,unimodal,GWO,1.646523e+09,1.330351e+09,1.377967e+08,1.191395e+09
F1,unimodal,PSO,1.480750e+09,1.920295e+09,7.752213e+05,5.772359e+08
F1,unimodal,DE,7.390081e+06,2.328004e+07,3.009836e+02,6.532231e+04
F1,unimodal,WOA,2.070694e+08,2.221699e+08,4.326798e+06,1.378488e+08
F2,unimodal,EOGWO,3.908474e+04,7.446984e+03,2.576291e+04,3.941347e+04
F2,unimodal,GWO,4.798544e+04,6.990728e+03,3.608685e+04,4.711928e+04
F2,unimodal,PSO,4.353152e+04,1.986088e+04,1.660957e+04,3.822804e+04
F2,unimodal,DE,5.203068e+04,1.391835e+04,2.567158e+04,4.965843e+04
F2,unimodal,WOA,4.622809e+04,1.110642e+04,2.553926e+04,4.770955e+04
F3,unimodal,EOGWO,1.770683e+07,8.021727e+06,6.139639e+06,1.752808e+07
F3,unimodal,GWO,2.617726e+07,1.748179e+07,7.543692e+06,2.071402e+07
F3,unimodal,PSO,2.810849e+07,2.963260e+07,5.373346e+06,2.047580e+07
F3,unimodal,DE,6.863003e+06,2.656696e+06,1.907971e+06,6.350784e+06
F3,unimodal,WOA,2.389985e+07,6.477088e+06,1.174168e+07,2.195067e+07
F4,multimodal,EOGWO,1.037601e+02,3.326595e+01,5.654324e+01,1.010963e+02
F4,multimodal,GWO,2.241106e+02,1.020292e+02,1.039539e+02,1.816605e+02
F4,multimodal,PSO,2.050766e+02,1.052430e+02,5.755196e+01,1.730617e+02
F4,multimodal,DE,7.670887e+01,2.774003e+01,3.006211e+01,6.928098e+01
F4,multimodal,WOA,1.688041e+02,3.789048e+01,1.051801e+02,1.639543e+02
F5,multimodal,EOGWO,1.436504e+02,2.954531e+01,8.100636e+01,1.490685e+02
F5,multimodal,GWO,1.488759e+02,6.926017e+01,3.796129e+01,1.347962e+02
F5,multimodal,PSO,1.316171e+02,5.346321e+01,4.839392e+01,1.241467e+02
F5,multimodal,DE,2.059104e+02,1.512478e+01,1.790458e+02,2.083534e+02
F5,multimodal,WOA,2.084148e+02,4.737795e+01,1.202573e+02,1.996890e+02
F6,multimodal,EOGWO,5.641132e-01,3.576061e-01,2.474951e-02,5.814413e-01
F6,multimodal,GWO,4.226635e-01,8.250573e-01,4.177395e-03,6.099643e-02
F6,multimodal,PSO,2.197817e-01,1.776347e-01,2.108391e-03,1.754225e-01
F6,multimodal,DE,2.488505e+00,4.861043e-01,1.624905e+00,2.460768e+00
F6,multimodal,WOA,2.686522e-01,2.173153e-01,1.757602e-02,2.098566e-01
F7,multimodal,EOGWO,1.868776e+01,9.977567e+00,1.209660e+00,1.650047e+01
F7,multimodal,GWO,1.378162e+01,6.021411e+00,3.108587e+00,1.070663e+01
F7,multimodal,PSO,9.507899e+00,5.894036e+00,1.218353e+00,9.287031e+00
F7,multimodal,DE,2.230437e+00,1.507309e+00,4.479550e-01,1.814484e+00
F7,multimodal,WOA,5.918197e+01,1.990357e+01,2.681607e+01,5.587972e+01
F8,multimodal,EOGWO,2.108326e+01,4.190104e-02,2.099735e+01,2.108426e+01
F8,multimodal,GWO,2.109025e+01,4.700402e-02,2.096833e+01,2.109113e+01
F8,multimodal,PSO,2.102302e+01,6.938639e-02,2.079263e+01,2.103537e+01
F8,multimodal,DE,2.108802e+01,3.828546e-02,2.098428e+01,2.109301e+01
F8,multimodal,WOA,2.051164e+01,1.587520e-01,2.018419e+01,2.050564e+01
F9,multimodal,EOGWO,1.223731e+00,1.395994e-01,1.046007e+00,1.197158e+00
F9,multimodal,GWO,1.498922e+01,1.161621e+01,2.739969e+00,1.268951e+01
F9,multimodal,PSO,2.033972e+01,2.178711e+01,3.057962e-01,1.074437e+01
F9,multimodal,DE,8.049029e-01,9.927863e-01,2.342120e-02,5.297481e-01
F9,multimodal,WOA,3.935993e+00,3.107493e+00,1.166668e+00,3.101164e+00
F10,unimodal,EOGWO,3.912261e+04,8.045975e+03,2.199090e+04,3.890700e+04
F10,unimodal,GWO,4.320609e+04,9.049026e+03,2.283511e+04,4.326676e+04
F10,unimodal,PSO,6.030605e+04,2.197955e+04,1.920262e+04,5.442511e+04
F10,unimodal,DE,4.466037e+04,1.000324e+04,2.725864e+04,4.441789e+04
F10,unimodal,WOA,5.240648e+04,1.368996e+04,2.886812e+04,4.995552e+04
